"gamma" "FDR" "G" "Burn"
1.5 0.5 "hglasso" "No"
1.77777777777778 0.242424242424242 "hglasso" "No"
2.05555555555556 0.153846153846154 "hglasso" "No"
2.33333333333333 0.12 "hglasso" "No"
2.61111111111111 0.1 "hglasso" "No"
2.88888888888889 0.111111111111111 "hglasso" "No"
3 0.133333333333333 "hglasso" "No"
3.16666666666667 0.166666666666667 "hglasso" "No"
3.44444444444444 0.1 "hglasso" "No"
3.72222222222222 0 "hglasso" "No"
4 0 "hglasso" "No"
1.5 0.277777777777778 "hglasso" "Yes"
1.77777777777778 0.25 "hglasso" "Yes"
2.05555555555556 0.172413793103448 "hglasso" "Yes"
2.33333333333333 0.148148148148148 "hglasso" "Yes"
2.61111111111111 0.08 "hglasso" "Yes"
2.88888888888889 0.0434782608695652 "hglasso" "Yes"
3 0.0434782608695652 "hglasso" "Yes"
3.16666666666667 0 "hglasso" "Yes"
3.44444444444444 0 "hglasso" "Yes"
3.72222222222222 0 "hglasso" "Yes"
4 0 "hglasso" "Yes"
1.5 0.511627906976744 "hglassotwo" "No"
1.77777777777778 0.354838709677419 "hglassotwo" "No"
2.05555555555556 0.230769230769231 "hglassotwo" "No"
2.33333333333333 0.136363636363636 "hglassotwo" "No"
2.61111111111111 0.105263157894737 "hglassotwo" "No"
2.88888888888889 0 "hglassotwo" "No"
3 0 "hglassotwo" "No"
3.16666666666667 0 "hglassotwo" "No"
3.44444444444444 0 "hglassotwo" "No"
3.72222222222222 0 "hglassotwo" "No"
4 0 "hglassotwo" "No"
1.5 0.32258064516129 "hglassotwo" "Yes"
1.77777777777778 0.166666666666667 "hglassotwo" "Yes"
2.05555555555556 0.173913043478261 "hglassotwo" "Yes"
2.33333333333333 0.136363636363636 "hglassotwo" "Yes"
2.61111111111111 0.0952380952380952 "hglassotwo" "Yes"
2.88888888888889 0.05 "hglassotwo" "Yes"
3 0.0526315789473684 "hglassotwo" "Yes"
3.16666666666667 0.0526315789473684 "hglassotwo" "Yes"
3.44444444444444 0.0526315789473684 "hglassotwo" "Yes"
3.72222222222222 0.0555555555555556 "hglassotwo" "Yes"
4 0.0625 "hglassotwo" "Yes"
1.5 0.890909090909091 "Inter" "No"
1.77777777777778 0.892857142857143 "Inter" "No"
2.05555555555556 0.882352941176471 "Inter" "No"
2.33333333333333 0.833333333333333 "Inter" "No"
2.61111111111111 0.8 "Inter" "No"
2.88888888888889 0.75 "Inter" "No"
3 0.666666666666667 "Inter" "No"
3.16666666666667 0 "Inter" "No"
3.44444444444444 0 "Inter" "No"
3.72222222222222 0 "Inter" "No"
4 0 "Inter" "No"
1.5 0.75 "Inter" "Yes"
1.77777777777778 0.676470588235294 "Inter" "Yes"
2.05555555555556 0.6 "Inter" "Yes"
2.33333333333333 0.642857142857143 "Inter" "Yes"
2.61111111111111 0.666666666666667 "Inter" "Yes"
2.88888888888889 0.625 "Inter" "Yes"
3 0.571428571428571 "Inter" "Yes"
3.16666666666667 0.5 "Inter" "Yes"
3.44444444444444 0.5 "Inter" "Yes"
3.72222222222222 0.333333333333333 "Inter" "Yes"
4 0.333333333333333 "Inter" "Yes"
1.5 0.98 "Scale-free" "No"
1.77777777777778 0.966666666666667 "Scale-free" "No"
2.05555555555556 0.944444444444444 "Scale-free" "No"
2.33333333333333 0.9375 "Scale-free" "No"
2.61111111111111 0.916666666666667 "Scale-free" "No"
2.88888888888889 0.857142857142857 "Scale-free" "No"
3 0.833333333333333 "Scale-free" "No"
3.16666666666667 0.8 "Scale-free" "No"
3.44444444444444 0 "Scale-free" "No"
3.72222222222222 0 "Scale-free" "No"
4 0 "Scale-free" "No"
1.5 0.975609756097561 "Scale-free" "Yes"
1.77777777777778 0.96551724137931 "Scale-free" "Yes"
2.05555555555556 0.956521739130435 "Scale-free" "Yes"
2.33333333333333 0.944444444444444 "Scale-free" "Yes"
2.61111111111111 0.928571428571429 "Scale-free" "Yes"
2.88888888888889 0.857142857142857 "Scale-free" "Yes"
3 0.857142857142857 "Scale-free" "Yes"
3.16666666666667 0.833333333333333 "Scale-free" "Yes"
3.44444444444444 0.666666666666667 "Scale-free" "Yes"
3.72222222222222 0.666666666666667 "Scale-free" "Yes"
4 0.666666666666667 "Scale-free" "Yes"
1.5 0.375 "Star" "No"
1.77777777777778 0.2 "Star" "No"
2.05555555555556 0.0434782608695652 "Star" "No"
2.33333333333333 0.0476190476190476 "Star" "No"
2.61111111111111 0 "Star" "No"
2.88888888888889 0 "Star" "No"
3 0 "Star" "No"
3.16666666666667 0 "Star" "No"
3.44444444444444 0 "Star" "No"
3.72222222222222 0 "Star" "No"
4 0 "Star" "No"
1.5 0.137931034482759 "Star" "Yes"
1.77777777777778 0.0384615384615385 "Star" "Yes"
2.05555555555556 0 "Star" "Yes"
2.33333333333333 0 "Star" "Yes"
2.61111111111111 0 "Star" "Yes"
2.88888888888889 0 "Star" "Yes"
3 0 "Star" "Yes"
3.16666666666667 0 "Star" "Yes"
3.44444444444444 0 "Star" "Yes"
3.72222222222222 0 "Star" "Yes"
4 0 "Star" "Yes"
