"gamma" "FDR" "Burn"
1.5 0.944444444444444 "No"
1.77777777777778 0.9 "No"
2.05555555555556 0.75 "No"
2.33333333333333 0.666666666666667 "No"
2.61111111111111 0.5 "No"
2.88888888888889 0.5 "No"
3 0.5 "No"
3.16666666666667 0 "No"
3.44444444444444 0 "No"
3.72222222222222 0 "No"
4 0 "No"
1.5 0.666666666666667 "Yes"
1.77777777777778 0 "Yes"
2.05555555555556 0 "Yes"
2.33333333333333 0 "Yes"
2.61111111111111 0 "Yes"
2.88888888888889 0 "Yes"
3 0 "Yes"
3.16666666666667 0 "Yes"
3.44444444444444 0 "Yes"
3.72222222222222 0 "Yes"
4 0 "Yes"
