"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
71 32 6 1391 0.310679611650485 0.922077922077922 0.689320388349515 0.022487702037948 0.785010964185791 "FH"
73 20 4 1403 0.21505376344086 0.948051948051948 0.78494623655914 0.0140548137737175 0.854682542644904 "FH"
70 43 7 1380 0.380530973451327 0.909090909090909 0.619469026548673 0.0302178496134926 0.734846300965764 "FH"
70 17 7 1406 0.195402298850575 0.909090909090909 0.804597701149425 0.0119465917076599 0.846992209933102 "FH"
71 27 6 1396 0.275510204081633 0.922077922077922 0.724489795918367 0.0189739985945186 0.806489090534587 "FH"
68 30 9 1393 0.306122448979592 0.883116883116883 0.693877551020408 0.0210822206605762 0.769813454305575 "FH"
68 23 9 1400 0.252747252747253 0.883116883116883 0.747252747252747 0.0161630358397751 0.801433695778047 "FH"
77 27 0 1396 0.259615384615385 1 0.740384615384615 0.0189739985945186 0.852253811216415 "FH"
75 28 2 1395 0.271844660194175 0.974025974025974 0.728155339805825 0.0196767392832045 0.832795417564792 "FH"
70 29 7 1394 0.292929292929293 0.909090909090909 0.707070707070707 0.0203794799718904 0.789899634844386 "FH"
75 24 2 1399 0.242424242424242 0.974025974025974 0.757575757575758 0.016865776528461 0.850737895022179 "FH"
70 24 7 1399 0.25531914893617 0.909090909090909 0.74468085106383 0.016865776528461 0.812392074625879 "FH"
73 29 4 1394 0.284313725490196 0.948051948051948 0.715686274509804 0.0203794799718904 0.813183969372518 "FH"
71 28 6 1395 0.282828282828283 0.922077922077922 0.717171717171717 0.0196767392832045 0.802067286879945 "FH"
71 36 6 1387 0.336448598130841 0.922077922077922 0.663551401869159 0.0252986647926915 0.768893022728146 "FH"
64 30 13 1393 0.319148936170213 0.831168831168831 0.680851063829787 0.0210822206605762 0.737603008612163 "FH"
73 39 4 1384 0.348214285714286 0.948051948051948 0.651785714285714 0.0274068868587491 0.772923115851427 "FH"
68 22 9 1401 0.244444444444444 0.883116883116883 0.755555555555556 0.0154602951510892 0.806240982468471 "FH"
65 32 12 1391 0.329896907216495 0.844155844155844 0.670103092783505 0.022487702037948 0.737275086435568 "FH"
75 28 2 1395 0.271844660194175 0.974025974025974 0.728155339805825 0.0196767392832045 0.832795417564792 "FH"
70 24 7 1399 0.25531914893617 0.909090909090909 0.74468085106383 0.016865776528461 0.812392074625879 "FH"
