"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
5 8 5 482 0.615384615384615 0.5 0.384615384615385 0.0163265306122449 0.425514289711328 "dss"
6 7 4 483 0.538461538461538 0.6 0.461538461538462 0.0142857142857143 0.51528523690781 "dss"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "dss"
5 8 5 482 0.615384615384615 0.5 0.384615384615385 0.0163265306122449 0.425514289711328 "dss"
6 7 4 483 0.538461538461538 0.6 0.461538461538462 0.0142857142857143 0.51528523690781 "dss"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "dss"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "dss"
6 6 4 484 0.5 0.6 0.5 0.0122448979591837 0.537642898446154 "dss"
6 8 4 482 0.571428571428571 0.6 0.428571428571429 0.0163265306122449 0.495319973075348 "dss"
9 4 1 486 0.307692307692308 0.9 0.692307692307692 0.00816326530612245 0.784598078497258 "dss"
8 6 2 484 0.428571428571429 0.8 0.571428571428571 0.0122448979591837 0.668508774849945 "dss"
5 5 5 485 0.5 0.5 0.5 0.0102040816326531 0.489795918367347 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
5 3 5 487 0.375 0.5 0.625 0.00612244897959184 0.551048444861885 "dss"
6 8 4 482 0.571428571428571 0.6 0.428571428571429 0.0163265306122449 0.495319973075348 "dss"
6 8 4 482 0.571428571428571 0.6 0.428571428571429 0.0163265306122449 0.495319973075348 "dss"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "dss"
5 11 5 479 0.6875 0.5 0.3125 0.0224489795918367 0.37987012987013 "dss"
8 3 2 487 0.272727272727273 0.8 0.727272727272727 0.00612244897959184 0.757706109716853 "dss"
4 9 6 481 0.692307692307692 0.4 0.307692307692308 0.0183673469387755 0.335743342514845 "dss"
8 11 2 479 0.578947368421053 0.8 0.421052631578947 0.0224489795918367 0.569347734652414 "dss"
5 7 5 483 0.583333333333333 0.5 0.416666666666667 0.0142857142857143 0.444302117465919 "dss"
7 9 3 481 0.5625 0.7 0.4375 0.0183673469387755 0.542207792207792 "dss"
6 6 4 484 0.5 0.6 0.5 0.0122448979591837 0.537642898446154 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
6 11 4 479 0.647058823529412 0.6 0.352941176470588 0.0224489795918367 0.446159730802471 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
5 6 5 484 0.545454545454545 0.5 0.454545454545455 0.0122448979591837 0.465531517281048 "dss"
7 4 3 486 0.363636363636364 0.7 0.636363636363636 0.00816326530612245 0.660314578904918 "dss"
7 8 3 482 0.533333333333333 0.7 0.466666666666667 0.0163265306122449 0.561087079685097 "dss"
8 5 2 485 0.384615384615385 0.8 0.615384615384615 0.0102040816326531 0.694827131300776 "dss"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "dss"
7 7 3 483 0.5 0.7 0.5 0.0142857142857143 0.581914373962646 "dss"
7 10 3 480 0.588235294117647 0.7 0.411764705882353 0.0204081632653061 0.524986538364745 "dss"
8 7 2 483 0.466666666666667 0.8 0.533333333333333 0.0142857142857143 0.644831419936604 "dss"
5 6 5 484 0.545454545454545 0.5 0.454545454545455 0.0122448979591837 0.465531517281048 "dss"
6 7 4 483 0.538461538461538 0.6 0.461538461538462 0.0142857142857143 0.51528523690781 "dss"
6 5 4 485 0.454545454545455 0.6 0.545454545454545 0.0102040816326531 0.562923048092983 "dss"
8 4 2 486 0.333333333333333 0.8 0.666666666666667 0.00816326530612245 0.724324460406625 "dss"
5 7 5 483 0.583333333333333 0.5 0.416666666666667 0.0142857142857143 0.444302117465919 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
6 8 4 482 0.571428571428571 0.6 0.428571428571429 0.0163265306122449 0.495319973075348 "dss"
6 9 4 481 0.6 0.6 0.4 0.0183673469387755 0.47734273943359 "dss"
8 6 2 484 0.428571428571429 0.8 0.571428571428571 0.0122448979591837 0.668508774849945 "dss"
6 5 4 485 0.454545454545455 0.6 0.545454545454545 0.0102040816326531 0.562923048092983 "dss"
6 7 4 483 0.538461538461538 0.6 0.461538461538462 0.0142857142857143 0.51528523690781 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
6 3 4 487 0.333333333333333 0.6 0.666666666666667 0.00612244897959184 0.625364102763326 "dss"
5 9 5 481 0.642857142857143 0.5 0.357142857142857 0.0183673469387755 0.408725572188049 "dss"
5 6 5 484 0.545454545454545 0.5 0.454545454545455 0.0122448979591837 0.465531517281048 "dss"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "dss"
6 8 4 482 0.571428571428571 0.6 0.428571428571429 0.0163265306122449 0.495319973075348 "dss"
6 6 4 484 0.5 0.6 0.5 0.0122448979591837 0.537642898446154 "dss"
6 6 4 484 0.5 0.6 0.5 0.0122448979591837 0.537642898446154 "dss"
8 3 2 487 0.272727272727273 0.8 0.727272727272727 0.00612244897959184 0.757706109716853 "dss"
6 10 4 480 0.625 0.6 0.375 0.0204081632653061 0.461038961038961 "dss"
6 7 4 483 0.538461538461538 0.6 0.461538461538462 0.0142857142857143 0.51528523690781 "dss"
5 10 5 480 0.666666666666667 0.5 0.333333333333333 0.0204081632653061 0.393598399182083 "dss"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "dss"
7 5 3 485 0.416666666666667 0.7 0.583333333333333 0.0102040816326531 0.630983679426389 "dss"
6 11 4 479 0.647058823529412 0.6 0.352941176470588 0.0224489795918367 0.446159730802471 "dss"
6 8 4 482 0.571428571428571 0.6 0.428571428571429 0.0163265306122449 0.495319973075348 "dss"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "dss"
7 7 3 483 0.5 0.7 0.5 0.0142857142857143 0.581914373962646 "dss"
8 6 2 484 0.428571428571429 0.8 0.571428571428571 0.0122448979591837 0.668508774849945 "dss"
8 7 2 483 0.466666666666667 0.8 0.533333333333333 0.0142857142857143 0.644831419936604 "dss"
5 6 5 484 0.545454545454545 0.5 0.454545454545455 0.0122448979591837 0.465531517281048 "dss"
7 4 3 486 0.363636363636364 0.7 0.636363636363636 0.00816326530612245 0.660314578904918 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
9 4 1 486 0.307692307692308 0.9 0.692307692307692 0.00816326530612245 0.784598078497258 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
6 6 4 484 0.5 0.6 0.5 0.0122448979591837 0.537642898446154 "dss"
9 8 1 482 0.470588235294118 0.9 0.529411764705882 0.0163265306122449 0.682640153489293 "dss"
8 4 2 486 0.333333333333333 0.8 0.666666666666667 0.00816326530612245 0.724324460406625 "dss"
6 7 4 483 0.538461538461538 0.6 0.461538461538462 0.0142857142857143 0.51528523690781 "dss"
5 5 5 485 0.5 0.5 0.5 0.0102040816326531 0.489795918367347 "dss"
5 8 5 482 0.615384615384615 0.5 0.384615384615385 0.0163265306122449 0.425514289711328 "dss"
5 10 5 480 0.666666666666667 0.5 0.333333333333333 0.0204081632653061 0.393598399182083 "dss"
6 3 4 487 0.333333333333333 0.6 0.666666666666667 0.00612244897959184 0.625364102763326 "dss"
7 5 3 485 0.416666666666667 0.7 0.583333333333333 0.0102040816326531 0.630983679426389 "dss"
5 10 5 480 0.666666666666667 0.5 0.333333333333333 0.0204081632653061 0.393598399182083 "dss"
6 7 4 483 0.538461538461538 0.6 0.461538461538462 0.0142857142857143 0.51528523690781 "dss"
6 10 4 480 0.625 0.6 0.375 0.0204081632653061 0.461038961038961 "dss"
5 7 5 483 0.583333333333333 0.5 0.416666666666667 0.0142857142857143 0.444302117465919 "dss"
7 7 3 483 0.5 0.7 0.5 0.0142857142857143 0.581914373962646 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
6 8 4 482 0.571428571428571 0.6 0.428571428571429 0.0163265306122449 0.495319973075348 "dss"
6 7 4 483 0.538461538461538 0.6 0.461538461538462 0.0142857142857143 0.51528523690781 "dss"
8 7 2 483 0.466666666666667 0.8 0.533333333333333 0.0142857142857143 0.644831419936604 "dss"
7 7 3 483 0.5 0.7 0.5 0.0142857142857143 0.581914373962646 "dss"
6 9 4 481 0.6 0.6 0.4 0.0183673469387755 0.47734273943359 "dss"
7 9 3 481 0.5625 0.7 0.4375 0.0183673469387755 0.542207792207792 "dss"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "dss"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "dss"
7 6 3 484 0.461538461538462 0.7 0.538461538461538 0.0122448979591837 0.605056184104293 "dss"
7 7 3 483 0.5 0.7 0.5 0.0142857142857143 0.581914373962646 "dss"
6 7 4 483 0.538461538461538 0.6 0.461538461538462 0.0142857142857143 0.51528523690781 "dss"
7 10 3 480 0.588235294117647 0.7 0.411764705882353 0.0204081632653061 0.524986538364745 "dss"
