"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
26 21 4 1449 0.446808510638298 0.866666666666667 0.553191489361702 0.0142857142857143 0.684969596210297 "MDSD"
26 22 4 1448 0.458333333333333 0.866666666666667 0.541666666666667 0.0149659863945578 0.677489177489177 "MDSD"
27 18 3 1452 0.4 0.9 0.6 0.0122448979591837 0.728575760188111 "MDSD"
27 24 3 1446 0.470588235294118 0.9 0.529411764705882 0.0163265306122449 0.682640153489293 "MDSD"
26 27 4 1443 0.509433962264151 0.866666666666667 0.490566037735849 0.0183673469387755 0.643274318109861 "MDSD"
26 24 4 1446 0.48 0.866666666666667 0.52 0.0163265306122449 0.663197636346614 "MDSD"
27 21 3 1449 0.4375 0.9 0.5625 0.0142857142857143 0.704545454545455 "MDSD"
26 24 4 1446 0.48 0.866666666666667 0.52 0.0163265306122449 0.663197636346614 "MDSD"
26 23 4 1447 0.469387755102041 0.866666666666667 0.530612244897959 0.0156462585034014 0.670235648613367 "MDSD"
26 27 4 1443 0.509433962264151 0.866666666666667 0.490566037735849 0.0183673469387755 0.643274318109861 "MDSD"
27 22 3 1448 0.448979591836735 0.9 0.551020408163265 0.0149659863945578 0.697023644161463 "MDSD"
26 21 4 1449 0.446808510638298 0.866666666666667 0.553191489361702 0.0142857142857143 0.684969596210297 "MDSD"
27 23 3 1447 0.46 0.9 0.54 0.0156462585034014 0.689725541800478 "MDSD"
26 23 4 1447 0.469387755102041 0.866666666666667 0.530612244897959 0.0156462585034014 0.670235648613367 "MDSD"
26 22 4 1448 0.458333333333333 0.866666666666667 0.541666666666667 0.0149659863945578 0.677489177489177 "MDSD"
26 19 4 1451 0.422222222222222 0.866666666666667 0.577777777777778 0.0129251700680272 0.700660980104275 "MDSD"
25 27 5 1443 0.519230769230769 0.833333333333333 0.480769230769231 0.0183673469387755 0.62369580831761 "MDSD"
27 26 3 1444 0.490566037735849 0.9 0.509433962264151 0.017687074829932 0.669067193735757 "MDSD"
26 18 4 1452 0.409090909090909 0.866666666666667 0.590909090909091 0.0122448979591837 0.708899342677423 "MDSD"
26 19 4 1451 0.422222222222222 0.866666666666667 0.577777777777778 0.0129251700680272 0.700660980104275 "MDSD"
26 25 4 1445 0.490196078431373 0.866666666666667 0.509803921568627 0.0170068027210884 0.656364550968535 "MDSD"
27 14 3 1456 0.341463414634146 0.9 0.658536585365854 0.00952380952380952 0.764578413323007 "MDSD"
26 19 4 1451 0.422222222222222 0.866666666666667 0.577777777777778 0.0129251700680272 0.700660980104275 "MDSD"
27 23 3 1447 0.46 0.9 0.54 0.0156462585034014 0.689725541800478 "MDSD"
27 25 3 1445 0.480769230769231 0.9 0.519230769230769 0.0170068027210884 0.675757228043621 "MDSD"
27 22 3 1448 0.448979591836735 0.9 0.551020408163265 0.0149659863945578 0.697023644161463 "MDSD"
27 25 3 1445 0.480769230769231 0.9 0.519230769230769 0.0170068027210884 0.675757228043621 "MDSD"
27 24 3 1446 0.470588235294118 0.9 0.529411764705882 0.0163265306122449 0.682640153489293 "MDSD"
25 24 5 1446 0.489795918367347 0.833333333333333 0.510204081632653 0.0163265306122449 0.643447653065271 "MDSD"
26 28 4 1442 0.518518518518518 0.866666666666667 0.481481481481481 0.019047619047619 0.636999330551933 "MDSD"
27 25 3 1445 0.480769230769231 0.9 0.519230769230769 0.0170068027210884 0.675757228043621 "MDSD"
27 19 3 1451 0.41304347826087 0.9 0.58695652173913 0.0129251700680272 0.720308321837354 "MDSD"
27 22 3 1448 0.448979591836735 0.9 0.551020408163265 0.0149659863945578 0.697023644161463 "MDSD"
26 25 4 1445 0.490196078431373 0.866666666666667 0.509803921568627 0.0170068027210884 0.656364550968535 "MDSD"
27 19 3 1451 0.41304347826087 0.9 0.58695652173913 0.0129251700680272 0.720308321837354 "MDSD"
27 25 3 1445 0.480769230769231 0.9 0.519230769230769 0.0170068027210884 0.675757228043621 "MDSD"
26 23 4 1447 0.469387755102041 0.866666666666667 0.530612244897959 0.0156462585034014 0.670235648613367 "MDSD"
27 27 3 1443 0.5 0.9 0.5 0.0183673469387755 0.662561101440855 "MDSD"
26 21 4 1449 0.446808510638298 0.866666666666667 0.553191489361702 0.0142857142857143 0.684969596210297 "MDSD"
27 17 3 1453 0.386363636363636 0.9 0.613636363636364 0.0115646258503401 0.737119857911397 "MDSD"
26 23 4 1447 0.469387755102041 0.866666666666667 0.530612244897959 0.0156462585034014 0.670235648613367 "MDSD"
26 30 4 1440 0.535714285714286 0.866666666666667 0.464285714285714 0.0204081632653061 0.624949219810256 "MDSD"
27 22 3 1448 0.448979591836735 0.9 0.551020408163265 0.0149659863945578 0.697023644161463 "MDSD"
26 19 4 1451 0.422222222222222 0.866666666666667 0.577777777777778 0.0129251700680272 0.700660980104275 "MDSD"
27 20 3 1450 0.425531914893617 0.9 0.574468085106383 0.0136054421768707 0.712302780416614 "MDSD"
26 28 4 1442 0.518518518518518 0.866666666666667 0.481481481481481 0.019047619047619 0.636999330551933 "MDSD"
27 15 3 1455 0.357142857142857 0.9 0.642857142857143 0.0102040816326531 0.755103175737243 "MDSD"
26 18 4 1452 0.409090909090909 0.866666666666667 0.590909090909091 0.0122448979591837 0.708899342677423 "MDSD"
26 26 4 1444 0.5 0.866666666666667 0.5 0.017687074829932 0.649726518180615 "MDSD"
26 26 4 1444 0.5 0.866666666666667 0.5 0.017687074829932 0.649726518180615 "MDSD"
27 20 3 1450 0.425531914893617 0.9 0.574468085106383 0.0136054421768707 0.712302780416614 "MDSD"
26 20 4 1450 0.434782608695652 0.866666666666667 0.565217391304348 0.0136054421768707 0.692689137717823 "MDSD"
27 19 3 1451 0.41304347826087 0.9 0.58695652173913 0.0129251700680272 0.720308321837354 "MDSD"
27 16 3 1454 0.372093023255814 0.9 0.627906976744186 0.0108843537414966 0.745956570936744 "MDSD"
