"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
43 3 34 1420 0.0652173913043478 0.558441558441558 0.934782608695652 0.00210822206605762 0.712068506047594 "MDSD"
47 2 30 1421 0.0408163265306122 0.61038961038961 0.959183673469388 0.00140548137737175 0.756000427087123 "MDSD"
40 2 37 1421 0.0476190476190476 0.519480519480519 0.952380952380952 0.00140548137737175 0.693006124987664 "MDSD"
36 4 41 1419 0.1 0.467532467532468 0.9 0.0028109627547435 0.636552398375901 "MDSD"
37 0 40 1423 0 0.480519480519481 1 0 0.683653098416278 "MDSD"
31 2 46 1421 0.0606060606060606 0.402597402597403 0.939393939393939 0.00140548137737175 0.603570444011918 "MDSD"
43 1 34 1422 0.0227272727272727 0.558441558441558 0.977272727272727 0.000702740688685875 0.729409908615853 "MDSD"
47 0 30 1423 0 0.61038961038961 1 0 0.773166821799806 "MDSD"
50 0 27 1423 0 0.649350649350649 1 0 0.798285219975734 "MDSD"
35 2 42 1421 0.0540540540540541 0.454545454545455 0.945945945945946 0.00140548137737175 0.644699245778173 "MDSD"
42 2 35 1421 0.0454545454545455 0.545454545454545 0.954545454545455 0.00140548137737175 0.711506471272553 "MDSD"
42 2 35 1421 0.0454545454545455 0.545454545454545 0.954545454545455 0.00140548137737175 0.711506471272553 "MDSD"
36 3 41 1420 0.0769230769230769 0.467532467532468 0.923076923076923 0.00210822206605762 0.645415520055357 "MDSD"
52 1 25 1422 0.0188679245283019 0.675324675324675 0.981132075471698 0.000702740688685875 0.806373171265894 "MDSD"
34 3 43 1420 0.0810810810810811 0.441558441558442 0.918918918918919 0.00210822206605762 0.625222319459121 "MDSD"
42 2 35 1421 0.0454545454545455 0.545454545454545 0.954545454545455 0.00140548137737175 0.711506471272553 "MDSD"
41 3 36 1420 0.0681818181818182 0.532467532467532 0.931818181818182 0.00210822206605762 0.693603033929252 "MDSD"
40 1 37 1422 0.024390243902439 0.519480519480519 0.975609756097561 0.000702740688685875 0.702117186161088 "MDSD"
37 4 40 1419 0.0975609756097561 0.480519480519481 0.902439024390244 0.0028109627547435 0.64653378384726 "MDSD"
48 0 29 1423 0 0.623376623376623 1 0 0.781617722303445 "MDSD"
46 0 31 1423 0 0.597402597402597 1 0 0.764634342807563 "MDSD"
48 0 29 1423 0 0.623376623376623 1 0 0.781617722303445 "MDSD"
46 1 31 1422 0.0212765957446809 0.597402597402597 0.978723404255319 0.000702740688685875 0.755826318028934 "MDSD"
50 1 27 1422 0.0196078431372549 0.649350649350649 0.980392156862745 0.000702740688685875 0.78983714474815 "MDSD"
46 1 31 1422 0.0212765957446809 0.597402597402597 0.978723404255319 0.000702740688685875 0.755826318028934 "MDSD"
41 1 36 1422 0.0238095238095238 0.532467532467532 0.976190476190476 0.000702740688685875 0.711318304593088 "MDSD"
37 0 40 1423 0 0.480519480519481 1 0 0.683653098416278 "MDSD"
42 3 35 1420 0.0666666666666667 0.545454545454545 0.933333333333333 0.00210822206605762 0.702889072819692 "MDSD"
38 3 39 1420 0.0731707317073171 0.493506493506494 0.926829268292683 0.00210822206605762 0.665061584618536 "MDSD"
47 2 30 1421 0.0408163265306122 0.61038961038961 0.959183673469388 0.00140548137737175 0.756000427087123 "MDSD"
42 1 35 1422 0.0232558139534884 0.545454545454545 0.976744186046512 0.000702740688685875 0.720414568480644 "MDSD"
42 0 35 1423 0 0.545454545454545 1 0 0.729630484198512 "MDSD"
41 0 36 1423 0 0.532467532467532 1 0 0.720644986932363 "MDSD"
51 2 26 1421 0.0377358490566038 0.662337662337662 0.962264150943396 0.00140548137737175 0.790009857951336 "MDSD"
49 2 28 1421 0.0392156862745098 0.636363636363636 0.96078431372549 0.00140548137737175 0.773167583633209 "MDSD"
51 1 26 1422 0.0192307692307692 0.662337662337662 0.980769230769231 0.000702740688685875 0.798142210447796 "MDSD"
48 4 29 1419 0.0769230769230769 0.623376623376623 0.923076923076923 0.0028109627547435 0.74859961572512 "MDSD"
48 1 29 1422 0.0204081632653061 0.623376623376623 0.979591836734694 0.000702740688685875 0.772995056556913 "MDSD"
38 0 39 1423 0 0.493506493506494 1 0 0.693066966175063 "MDSD"
48 0 29 1423 0 0.623376623376623 1 0 0.781617722303445 "MDSD"
38 5 39 1418 0.116279069767442 0.493506493506494 0.883720930232558 0.00351370344342937 0.647997751129309 "MDSD"
58 0 19 1423 0 0.753246753246753 1 0 0.862161159746001 "MDSD"
48 0 29 1423 0 0.623376623376623 1 0 0.781617722303445 "MDSD"
37 0 40 1423 0 0.480519480519481 1 0 0.683653098416278 "MDSD"
31 2 46 1421 0.0606060606060606 0.402597402597403 0.939393939393939 0.00140548137737175 0.603570444011918 "MDSD"
45 2 32 1421 0.0425531914893617 0.584415584415584 0.957446808510638 0.00140548137737175 0.738485814258062 "MDSD"
37 1 40 1422 0.0263157894736842 0.480519480519481 0.973684210526316 0.000702740688685875 0.673841452078406 "MDSD"
50 3 27 1420 0.0566037735849057 0.649350649350649 0.943396226415094 0.00210822206605762 0.773646544636777 "MDSD"
45 2 32 1421 0.0425531914893617 0.584415584415584 0.957446808510638 0.00140548137737175 0.738485814258062 "MDSD"
46 1 31 1422 0.0212765957446809 0.597402597402597 0.978723404255319 0.000702740688685875 0.755826318028934 "MDSD"
45 1 32 1422 0.0217391304347826 0.584415584415584 0.978260869565217 0.000702740688685875 0.747112397220907 "MDSD"
44 2 33 1421 0.0434782608695652 0.571428571428571 0.956521739130435 0.00140548137737175 0.729590451634251 "MDSD"
50 1 27 1422 0.0196078431372549 0.649350649350649 0.980392156862745 0.000702740688685875 0.78983714474815 "MDSD"
54 4 23 1419 0.0689655172413793 0.701298701298701 0.931034482758621 0.0028109627547435 0.799484360384817 "MDSD"
45 0 32 1423 0 0.584415584415584 1 0 0.756017498580817 "MDSD"
