"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
0 13 75 1412 1 0 0 0.00912280701754386 -0.0214505973806421 "dss"
0 17 75 1408 1 0 0 0.0119298245614035 -0.0245627554692242 "dss"
0 12 75 1413 1 0 0 0.00842105263157895 -0.0206021410857582 "dss"
0 18 75 1407 1 0 0 0.0126315789473684 -0.0252833927060664 "dss"
3 15 72 1410 0.833333333333333 0.04 0.166666666666667 0.0105263157894737 0.0589945829808216 "dss"
2 13 73 1412 0.866666666666667 0.0266666666666667 0.133333333333333 0.00912280701754386 0.038428581325893 "dss"
2 13 73 1412 0.866666666666667 0.0266666666666667 0.133333333333333 0.00912280701754386 0.038428581325893 "dss"
1 19 74 1406 0.95 0.0133333333333333 0.05 0.0133333333333333 0 "dss"
0 15 75 1410 1 0 0 0.0105263157894737 -0.0230571487955358 "dss"
0 17 75 1408 1 0 0 0.0119298245614035 -0.0245627554692242 "dss"
1 12 74 1413 0.923076923076923 0.0133333333333333 0.0769230769230769 0.00842105263157895 0.0115503216664996 "dss"
2 14 73 1411 0.875 0.0266666666666667 0.125 0.00982456140350877 0.0357320143258091 "dss"
3 16 72 1409 0.842105263157895 0.04 0.157894736842105 0.0112280701754386 0.0560728624045381 "dss"
2 13 73 1412 0.866666666666667 0.0266666666666667 0.133333333333333 0.00912280701754386 0.038428581325893 "dss"
3 12 72 1413 0.8 0.04 0.2 0.00842105263157895 0.0691714463866075 "dss"
0 18 75 1407 1 0 0 0.0126315789473684 -0.0252833927060664 "dss"
2 15 73 1410 0.882352941176471 0.0266666666666667 0.117647058823529 0.0105263157894737 0.0332319632818916 "dss"
1 12 74 1413 0.923076923076923 0.0133333333333333 0.0769230769230769 0.00842105263157895 0.0115503216664996 "dss"
1 20 74 1405 0.952380952380952 0.0133333333333333 0.0476190476190476 0.0140350877192982 -0.00130175563154011 "dss"
0 13 75 1412 1 0 0 0.00912280701754386 -0.0214505973806421 "dss"
1 16 74 1409 0.941176470588235 0.0133333333333333 0.0588235294117647 0.0112280701754386 0.00433460390633369 "dss"
