"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
8 37 2 453 0.822222222222222 0.8 0.177777777777778 0.0755102040816327 0.354420111463125 "BIC"
10 42 0 448 0.807692307692308 1 0.192307692307692 0.0857142857142857 0.419313934688767 "BIC"
10 28 0 462 0.736842105263158 1 0.263157894736842 0.0571428571428571 0.498116754136899 "BIC"
10 30 0 460 0.75 1 0.25 0.0612244897959184 0.484452141651805 "BIC"
10 32 0 458 0.761904761904762 1 0.238095238095238 0.0653061224489796 0.471747984968321 "BIC"
9 40 1 450 0.816326530612245 0.9 0.183673469387755 0.0816326530612245 0.385354133364393 "BIC"
9 36 1 454 0.8 0.9 0.2 0.073469387755102 0.404338437021311 "BIC"
10 51 0 439 0.836065573770492 1 0.163934426229508 0.104081632653061 0.383238650842394 "BIC"
10 29 0 461 0.743589743589744 1 0.256410256410256 0.0591836734693878 0.491156752494221 "BIC"
10 21 0 469 0.67741935483871 1 0.32258064516129 0.0428571428571429 0.555657952672922 "BIC"
10 23 0 467 0.696969696969697 1 0.303030303030303 0.0469387755102041 0.537407137711786 "BIC"
9 31 1 459 0.775 0.9 0.225 0.063265306122449 0.431794300167913 "BIC"
9 11 1 479 0.55 0.9 0.45 0.0224489795918367 0.62695273178379 "BIC"
9 66 1 424 0.88 0.9 0.12 0.13469387755102 0.300060018006002 "BIC"
9 55 1 435 0.859375 0.9 0.140625 0.112244897959184 0.330107987585147 "BIC"
10 68 0 422 0.871794871794872 1 0.128205128205128 0.138775510204082 0.332285112708472 "BIC"
9 24 1 466 0.727272727272727 0.9 0.272727272727273 0.0489795918367347 0.479868900269411 "BIC"
10 32 0 458 0.761904761904762 1 0.238095238095238 0.0653061224489796 0.471747984968321 "BIC"
9 24 1 466 0.727272727272727 0.9 0.272727272727273 0.0489795918367347 0.479868900269411 "BIC"
10 71 0 419 0.876543209876543 1 0.123456790123457 0.144897959183673 0.324912531594583 "BIC"
10 40 0 450 0.8 1 0.2 0.0816326530612245 0.428571428571429 "BIC"
10 56 0 434 0.848484848484849 1 0.151515151515152 0.114285714285714 0.366331999966061 "BIC"
9 33 1 457 0.785714285714286 0.9 0.214285714285714 0.0673469387755102 0.420247113246889 "BIC"
10 42 0 448 0.807692307692308 1 0.192307692307692 0.0857142857142857 0.419313934688767 "BIC"
10 50 0 440 0.833333333333333 1 0.166666666666667 0.102040816326531 0.386858971649331 "BIC"
10 55 0 435 0.846153846153846 1 0.153846153846154 0.112244897959184 0.369564213643961 "BIC"
10 21 0 469 0.67741935483871 1 0.32258064516129 0.0428571428571429 0.555657952672922 "BIC"
10 41 0 449 0.803921568627451 1 0.196078431372549 0.0836734693877551 0.423877185924766 "BIC"
9 27 1 463 0.75 0.9 0.25 0.0551020408163265 0.457606369079163 "BIC"
9 34 1 456 0.790697674418605 0.9 0.209302325581395 0.0693877551020408 0.414766852881205 "BIC"
9 16 1 474 0.64 0.9 0.36 0.0326530612244898 0.557152496542793 "BIC"
9 36 1 454 0.8 0.9 0.2 0.073469387755102 0.404338437021311 "BIC"
9 43 1 447 0.826923076923077 0.9 0.173076923076923 0.0877551020408163 0.372515504477967 "BIC"
9 40 1 450 0.816326530612245 0.9 0.183673469387755 0.0816326530612245 0.385354133364393 "BIC"
10 37 0 453 0.787234042553192 1 0.212765957446809 0.0755102040816327 0.443508688278343 "BIC"
10 47 0 443 0.824561403508772 1 0.175438596491228 0.0959183673469388 0.398259730259226 "BIC"
9 33 1 457 0.785714285714286 0.9 0.214285714285714 0.0673469387755102 0.420247113246889 "BIC"
9 36 1 454 0.8 0.9 0.2 0.073469387755102 0.404338437021311 "BIC"
10 14 0 476 0.583333333333333 1 0.416666666666667 0.0285714285714286 0.636209010280352 "BIC"
10 63 0 427 0.863013698630137 1 0.136986301369863 0.128571428571429 0.345505104026009 "BIC"
10 22 0 468 0.6875 1 0.3125 0.0448979591836735 0.546323519313513 "BIC"
10 34 0 456 0.772727272727273 1 0.227272727272727 0.0693877551020408 0.459894317133137 "BIC"
8 20 2 470 0.714285714285714 0.8 0.285714285714286 0.0408163265306122 0.462269121853197 "BIC"
9 11 1 479 0.55 0.9 0.45 0.0224489795918367 0.62695273178379 "BIC"
9 23 1 467 0.71875 0.9 0.28125 0.0469387755102041 0.487955621950958 "BIC"
8 30 2 460 0.789473684210526 0.8 0.210526315789474 0.0612244897959184 0.390299274886488 "BIC"
9 22 1 468 0.709677419354839 0.9 0.290322580645161 0.0448979591836735 0.49641936496792 "BIC"
9 46 1 444 0.836363636363636 0.9 0.163636363636364 0.0938775510204082 0.360692992828192 "BIC"
10 41 0 449 0.803921568627451 1 0.196078431372549 0.0836734693877551 0.423877185924766 "BIC"
9 36 1 454 0.8 0.9 0.2 0.073469387755102 0.404338437021311 "BIC"
10 23 0 467 0.696969696969697 1 0.303030303030303 0.0469387755102041 0.537407137711786 "BIC"
9 33 1 457 0.785714285714286 0.9 0.214285714285714 0.0673469387755102 0.420247113246889 "BIC"
8 32 2 458 0.8 0.8 0.2 0.0653061224489796 0.379136458684021 "BIC"
10 62 0 428 0.861111111111111 1 0.138888888888889 0.126530612244898 0.348303305674471 "BIC"
10 21 0 469 0.67741935483871 1 0.32258064516129 0.0428571428571429 0.555657952672922 "BIC"
10 55 0 435 0.846153846153846 1 0.153846153846154 0.112244897959184 0.369564213643961 "BIC"
10 33 0 457 0.767441860465116 1 0.232558139534884 0.0673469387755102 0.46572101171182 "BIC"
10 36 0 454 0.782608695652174 1 0.217391304347826 0.073469387755102 0.44879805961491 "BIC"
10 32 0 458 0.761904761904762 1 0.238095238095238 0.0653061224489796 0.471747984968321 "BIC"
10 31 0 459 0.75609756097561 1 0.24390243902439 0.063265306122449 0.477987318404474 "BIC"
10 56 0 434 0.848484848484849 1 0.151515151515152 0.114285714285714 0.366331999966061 "BIC"
8 62 2 428 0.885714285714286 0.8 0.114285714285714 0.126530612244898 0.271726911203425 "BIC"
10 46 0 444 0.821428571428571 1 0.178571428571429 0.0938775510204082 0.402253129478103 "BIC"
9 20 1 470 0.689655172413793 0.9 0.310344827586207 0.0408163265306122 0.514605712997467 "BIC"
9 29 1 461 0.763157894736842 0.9 0.236842105263158 0.0591836734693878 0.444208014511693 "BIC"
10 47 0 443 0.824561403508772 1 0.175438596491228 0.0959183673469388 0.398259730259226 "BIC"
10 48 0 442 0.827586206896552 1 0.172413793103448 0.0979591836734694 0.394365666199516 "BIC"
9 40 1 450 0.816326530612245 0.9 0.183673469387755 0.0816326530612245 0.385354133364393 "BIC"
9 17 1 473 0.653846153846154 0.9 0.346153846153846 0.0346938775510204 0.545622123858139 "BIC"
9 38 1 452 0.808510638297872 0.9 0.191489361702128 0.0775510204081633 0.394556294428636 "BIC"
10 46 0 444 0.821428571428571 1 0.178571428571429 0.0938775510204082 0.402253129478103 "BIC"
10 37 0 453 0.787234042553192 1 0.212765957446809 0.0755102040816327 0.443508688278343 "BIC"
9 26 1 464 0.742857142857143 0.9 0.257142857142857 0.0530612244897959 0.464718068132704 "BIC"
10 21 0 469 0.67741935483871 1 0.32258064516129 0.0428571428571429 0.555657952672922 "BIC"
9 12 1 478 0.571428571428571 0.9 0.428571428571429 0.0244897959183673 0.611057175237885 "BIC"
10 51 0 439 0.836065573770492 1 0.163934426229508 0.104081632653061 0.383238650842394 "BIC"
10 53 0 437 0.841269841269841 1 0.158730158730159 0.108163265306122 0.376246443782989 "BIC"
10 44 0 446 0.814814814814815 1 0.185185185185185 0.0897959183673469 0.410556100202462 "BIC"
10 29 0 461 0.743589743589744 1 0.256410256410256 0.0591836734693878 0.491156752494221 "BIC"
10 31 0 459 0.75609756097561 1 0.24390243902439 0.063265306122449 0.477987318404474 "BIC"
10 21 0 469 0.67741935483871 1 0.32258064516129 0.0428571428571429 0.555657952672922 "BIC"
10 47 0 443 0.824561403508772 1 0.175438596491228 0.0959183673469388 0.398259730259226 "BIC"
10 29 0 461 0.743589743589744 1 0.256410256410256 0.0591836734693878 0.491156752494221 "BIC"
10 50 0 440 0.833333333333333 1 0.166666666666667 0.102040816326531 0.386858971649331 "BIC"
10 45 0 445 0.818181818181818 1 0.181818181818182 0.0918367346938776 0.40635033369252 "BIC"
10 31 0 459 0.75609756097561 1 0.24390243902439 0.063265306122449 0.477987318404474 "BIC"
10 28 0 462 0.736842105263158 1 0.263157894736842 0.0571428571428571 0.498116754136899 "BIC"
9 39 1 451 0.8125 0.9 0.1875 0.0795918367346939 0.389886481304669 "BIC"
9 41 1 449 0.82 0.9 0.18 0.0836734693877551 0.380952380952381 "BIC"
10 41 0 449 0.803921568627451 1 0.196078431372549 0.0836734693877551 0.423877185924766 "BIC"
8 27 2 463 0.771428571428571 0.8 0.228571428571429 0.0551020408163265 0.408727939442016 "BIC"
9 25 1 465 0.735294117647059 0.9 0.264705882352941 0.0510204081632653 0.472131387792749 "BIC"
9 33 1 457 0.785714285714286 0.9 0.214285714285714 0.0673469387755102 0.420247113246889 "BIC"
10 38 0 452 0.791666666666667 1 0.208333333333333 0.0775510204081633 0.438379824750523 "BIC"
9 56 1 434 0.861538461538462 0.9 0.138461538461538 0.114285714285714 0.327085568397529 "BIC"
10 56 0 434 0.848484848484849 1 0.151515151515152 0.114285714285714 0.366331999966061 "BIC"
10 50 0 440 0.833333333333333 1 0.166666666666667 0.102040816326531 0.386858971649331 "BIC"
10 40 0 450 0.8 1 0.2 0.0816326530612245 0.428571428571429 "BIC"
10 34 0 456 0.772727272727273 1 0.227272727272727 0.0693877551020408 0.459894317133137 "BIC"
10 34 0 456 0.772727272727273 1 0.227272727272727 0.0693877551020408 0.459894317133137 "BIC"
5 1 5 489 0.166666666666667 0.5 0.833333333333333 0.00204081632653061 0.640254569437276 "MDSD"
6 0 4 490 0 0.6 1 0 0.771454276289177 "MDSD"
7 1 3 489 0.125 0.7 0.875 0.00204081632653061 0.778754413813078 "MDSD"
7 0 3 490 0 0.7 1 0 0.834110523319039 "MDSD"
6 0 4 490 0 0.6 1 0 0.771454276289177 "MDSD"
7 0 3 490 0 0.7 1 0 0.834110523319039 "MDSD"
7 0 3 490 0 0.7 1 0 0.834110523319039 "MDSD"
6 1 4 489 0.142857142857143 0.6 0.857142857142857 0.00204081632653061 0.712520068024719 "MDSD"
7 1 3 489 0.125 0.7 0.875 0.00204081632653061 0.778754413813078 "MDSD"
