"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "BIC"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "BIC"
6 0 21 473 0 0.222222222222222 1 0 0.461275978742664 "BIC"
3 1 24 472 0.25 0.111111111111111 0.75 0.00211416490486258 0.276538720381998 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "BIC"
5 0 22 473 0 0.185185185185185 1 0 0.420659877466687 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
4 0 23 473 0 0.148148148148148 1 0 0.37587015730082 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
4 0 23 473 0 0.148148148148148 1 0 0.37587015730082 "BIC"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
4 1 23 472 0.2 0.148148148148148 0.8 0.00211416490486258 0.331725442484301 "BIC"
3 1 24 472 0.25 0.111111111111111 0.75 0.00211416490486258 0.276538720381998 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "BIC"
4 0 23 473 0 0.148148148148148 1 0 0.37587015730082 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
4 0 23 473 0 0.148148148148148 1 0 0.37587015730082 "BIC"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
3 1 24 472 0.25 0.111111111111111 0.75 0.00211416490486258 0.276538720381998 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
3 1 24 472 0.25 0.111111111111111 0.75 0.00211416490486258 0.276538720381998 "BIC"
6 0 21 473 0 0.222222222222222 1 0 0.461275978742664 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
7 1 20 472 0.125 0.259259259259259 0.875 0.00211416490486258 0.463194241052352 "BIC"
5 0 22 473 0 0.185185185185185 1 0 0.420659877466687 "BIC"
4 0 23 473 0 0.148148148148148 1 0 0.37587015730082 "BIC"
6 0 21 473 0 0.222222222222222 1 0 0.461275978742664 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
5 0 22 473 0 0.185185185185185 1 0 0.420659877466687 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
5 2 22 471 0.285714285714286 0.185185185185185 0.714285714285714 0.00422832980972516 0.348108809005436 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "BIC"
6 1 21 472 0.142857142857143 0.222222222222222 0.857142857142857 0.00211416490486258 0.423424431897135 "BIC"
3 1 24 472 0.25 0.111111111111111 0.75 0.00211416490486258 0.276538720381998 "BIC"
7 0 20 473 0 0.259259259259259 1 0 0.498740054788835 "BIC"
4 0 23 473 0 0.148148148148148 1 0 0.37587015730082 "BIC"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
5 0 22 473 0 0.185185185185185 1 0 0.420659877466687 "BIC"
4 0 23 473 0 0.148148148148148 1 0 0.37587015730082 "BIC"
5 1 22 472 0.166666666666667 0.185185185185185 0.833333333333333 0.00211416490486258 0.380008188266507 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
3 1 24 472 0.25 0.111111111111111 0.75 0.00211416490486258 0.276538720381998 "BIC"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "BIC"
4 1 23 472 0.2 0.148148148148148 0.8 0.00211416490486258 0.331725442484301 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "BIC"
4 0 23 473 0 0.148148148148148 1 0 0.37587015730082 "BIC"
4 0 23 473 0 0.148148148148148 1 0 0.37587015730082 "BIC"
