"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
5 22 22 451 0.814814814814815 0.185185185185185 0.185185185185185 0.0465116279069767 0.138673557278208 "BIC"
7 20 20 453 0.740740740740741 0.259259259259259 0.259259259259259 0.0422832980972516 0.216975961162008 "BIC"
10 17 17 456 0.62962962962963 0.37037037037037 0.37037037037037 0.0359408033826638 0.334429566987707 "BIC"
10 17 17 456 0.62962962962963 0.37037037037037 0.37037037037037 0.0359408033826638 0.334429566987707 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
4 23 23 450 0.851851851851852 0.148148148148148 0.148148148148148 0.0486257928118393 0.0995223553363088 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
6 21 21 452 0.777777777777778 0.222222222222222 0.222222222222222 0.0443974630021142 0.177824759220108 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
14 13 13 460 0.481481481481481 0.518518518518518 0.518518518518518 0.0274841437632135 0.491034374755305 "BIC"
13 14 14 459 0.518518518518518 0.481481481481481 0.481481481481481 0.0295983086680761 0.451883172813405 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
4 23 23 450 0.851851851851852 0.148148148148148 0.148148148148148 0.0486257928118393 0.0995223553363088 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
6 21 21 452 0.777777777777778 0.222222222222222 0.222222222222222 0.0443974630021142 0.177824759220108 "BIC"
7 20 20 453 0.740740740740741 0.259259259259259 0.259259259259259 0.0422832980972516 0.216975961162008 "BIC"
17 10 10 463 0.37037037037037 0.62962962962963 0.62962962962963 0.0211416490486258 0.608487980581004 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
7 20 20 453 0.740740740740741 0.259259259259259 0.259259259259259 0.0422832980972516 0.216975961162008 "BIC"
7 20 20 453 0.740740740740741 0.259259259259259 0.259259259259259 0.0422832980972516 0.216975961162008 "BIC"
4 23 23 450 0.851851851851852 0.148148148148148 0.148148148148148 0.0486257928118393 0.0995223553363088 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
6 21 21 452 0.777777777777778 0.222222222222222 0.222222222222222 0.0443974630021142 0.177824759220108 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
4 23 23 450 0.851851851851852 0.148148148148148 0.148148148148148 0.0486257928118393 0.0995223553363088 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
10 17 17 456 0.62962962962963 0.37037037037037 0.37037037037037 0.0359408033826638 0.334429566987707 "BIC"
16 11 11 462 0.407407407407407 0.592592592592593 0.592592592592593 0.0232558139534884 0.569336778639104 "BIC"
10 17 17 456 0.62962962962963 0.37037037037037 0.37037037037037 0.0359408033826638 0.334429566987707 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
7 20 20 453 0.740740740740741 0.259259259259259 0.259259259259259 0.0422832980972516 0.216975961162008 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
6 21 21 452 0.777777777777778 0.222222222222222 0.222222222222222 0.0443974630021142 0.177824759220108 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
15 12 12 461 0.444444444444444 0.555555555555556 0.555555555555556 0.025369978858351 0.530185576697205 "BIC"
5 22 22 451 0.814814814814815 0.185185185185185 0.185185185185185 0.0465116279069767 0.138673557278208 "BIC"
15 12 12 461 0.444444444444444 0.555555555555556 0.555555555555556 0.025369978858351 0.530185576697205 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
15 12 12 461 0.444444444444444 0.555555555555556 0.555555555555556 0.025369978858351 0.530185576697205 "BIC"
4 23 23 450 0.851851851851852 0.148148148148148 0.148148148148148 0.0486257928118393 0.0995223553363088 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
15 12 12 461 0.444444444444444 0.555555555555556 0.555555555555556 0.025369978858351 0.530185576697205 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
4 23 23 450 0.851851851851852 0.148148148148148 0.148148148148148 0.0486257928118393 0.0995223553363088 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
5 22 22 451 0.814814814814815 0.185185185185185 0.185185185185185 0.0465116279069767 0.138673557278208 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
5 22 22 451 0.814814814814815 0.185185185185185 0.185185185185185 0.0465116279069767 0.138673557278208 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
7 20 20 453 0.740740740740741 0.259259259259259 0.259259259259259 0.0422832980972516 0.216975961162008 "BIC"
7 20 20 453 0.740740740740741 0.259259259259259 0.259259259259259 0.0422832980972516 0.216975961162008 "BIC"
14 13 13 460 0.481481481481481 0.518518518518518 0.518518518518518 0.0274841437632135 0.491034374755305 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
17 10 10 463 0.37037037037037 0.62962962962963 0.62962962962963 0.0211416490486258 0.608487980581004 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
5 22 22 451 0.814814814814815 0.185185185185185 0.185185185185185 0.0465116279069767 0.138673557278208 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
14 13 13 460 0.481481481481481 0.518518518518518 0.518518518518518 0.0274841437632135 0.491034374755305 "BIC"
6 21 21 452 0.777777777777778 0.222222222222222 0.222222222222222 0.0443974630021142 0.177824759220108 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
12 15 15 458 0.555555555555556 0.444444444444444 0.444444444444444 0.0317124735729387 0.412731970871506 "BIC"
3 24 24 449 0.888888888888889 0.111111111111111 0.111111111111111 0.0507399577167019 0.0603711533944092 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
6 21 21 452 0.777777777777778 0.222222222222222 0.222222222222222 0.0443974630021142 0.177824759220108 "BIC"
11 16 16 457 0.592592592592593 0.407407407407407 0.407407407407407 0.0338266384778013 0.373580768929606 "BIC"
8 19 19 454 0.703703703703704 0.296296296296296 0.296296296296296 0.040169133192389 0.256127163103907 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
9 18 18 455 0.666666666666667 0.333333333333333 0.333333333333333 0.0380549682875264 0.295278365045807 "BIC"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
0 1 27 472 1 0 0 0.00211416490486258 -0.0106954986909014 "MDSD"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "MDSD"
1 3 26 470 0.75 0.037037037037037 0.25 0.00634249471458774 0.0778758465443559 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
2 3 25 470 0.6 0.0740740740740741 0.4 0.00634249471458774 0.153856572519528 "MDSD"
1 3 26 470 0.75 0.037037037037037 0.25 0.00634249471458774 0.0778758465443559 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
4 2 23 471 0.333333333333333 0.148148148148148 0.666666666666667 0.00422832980972516 0.298740397790351 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
3 1 24 472 0.25 0.111111111111111 0.75 0.00211416490486258 0.276538720381998 "MDSD"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
1 2 26 471 0.666666666666667 0.037037037037037 0.333333333333333 0.00422832980972516 0.0960202315209166 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "MDSD"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "MDSD"
2 2 25 471 0.5 0.0740740740740741 0.5 0.00422832980972516 0.177207283463177 "MDSD"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "MDSD"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "MDSD"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "MDSD"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "MDSD"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "MDSD"
1 2 26 471 0.666666666666667 0.037037037037037 0.333333333333333 0.00422832980972516 0.0960202315209166 "MDSD"
3 2 24 471 0.4 0.111111111111111 0.6 0.00422832980972516 0.242791007501914 "MDSD"
1 2 26 471 0.666666666666667 0.037037037037037 0.333333333333333 0.00422832980972516 0.0960202315209166 "MDSD"
2 2 25 471 0.5 0.0740740740740741 0.5 0.00422832980972516 0.177207283463177 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
2 2 25 471 0.5 0.0740740740740741 0.5 0.00422832980972516 0.177207283463177 "MDSD"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "MDSD"
3 1 24 472 0.25 0.111111111111111 0.75 0.00211416490486258 0.276538720381998 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "MDSD"
1 0 26 473 0 0.037037037037037 1 0 0.187369291881347 "MDSD"
2 3 25 470 0.6 0.0740740740740741 0.4 0.00634249471458774 0.153856572519528 "MDSD"
3 1 24 472 0.25 0.111111111111111 0.75 0.00211416490486258 0.276538720381998 "MDSD"
3 2 24 471 0.4 0.111111111111111 0.6 0.00422832980972516 0.242791007501914 "MDSD"
3 0 24 473 0 0.111111111111111 1 0 0.3251854618811 "MDSD"
1 1 26 472 0.5 0.037037037037037 0.5 0.00211416490486258 0.125052603272747 "MDSD"
2 0 25 473 0 0.0740740740740741 1 0 0.265246104699593 "MDSD"
4 1 23 472 0.2 0.148148148148148 0.8 0.00211416490486258 0.331725442484301 "MDSD"
2 1 25 472 0.333333333333333 0.0740740740740741 0.666666666666667 0.00211416490486258 0.210602846701008 "MDSD"
