"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
24 1 1 474 0.04 0.96 0.96 0.00210526315789474 0.957894736842105 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
25 0 0 475 0 1 1 0 1 "BIC"
